page,link_number,url,full_url
1,1,https://auto.ru/logbook/review/cars/vaz/2102/6257027/mechta-dognavshaia-menia_3016688045783179757/,https://auto.ru/logbook/review/cars/vaz/2102/6257027/mechta-dognavshaia-menia_3016688045783179757/
1,2,https://auto.ru/logbook/review/cars/vaz/2102/6257027/priiatnye-i-autentichnye-zhiguli-vykhodnogo-dnia_7982700449495668952/,https://auto.ru/logbook/review/cars/vaz/2102/6257027/priiatnye-i-autentichnye-zhiguli-vykhodnogo-dnia_7982700449495668952/
1,3,https://auto.ru/logbook/review/cars/vaz/2102/6257027/lastochka_2834769627966948609/,https://auto.ru/logbook/review/cars/vaz/2102/6257027/lastochka_2834769627966948609/
1,4,https://auto.ru/logbook/review/cars/vaz/2102/6257027/vladenie-zimney-zhigoy_6533690288013160136/,https://auto.ru/logbook/review/cars/vaz/2102/6257027/vladenie-zimney-zhigoy_6533690288013160136/
1,5,https://auto.ru/logbook/review/cars/vaz/2102/6257027/chem-blizhe-po-konstruktsii-k-fiatu-tem-nadezhnee-byli-mashiny_607101998798210535/,https://auto.ru/logbook/review/cars/vaz/2102/6257027/chem-blizhe-po-konstruktsii-k-fiatu-tem-nadezhnee-byli-mashiny_607101998798210535/
1,6,https://auto.ru/logbook/review/cars/vaz/2102/6257027/rabochaia-loshadka_3883082865642000882/,https://auto.ru/logbook/review/cars/vaz/2102/6257027/rabochaia-loshadka_3883082865642000882/
1,7,https://auto.ru/logbook/review/cars/vaz/2102/6257027/vozvrashchenie-v-molodost_8537899961750172320/,https://auto.ru/logbook/review/cars/vaz/2102/6257027/vozvrashchenie-v-molodost_8537899961750172320/
1,8,https://auto.ru/logbook/review/cars/vaz/2102/6257027/retro-saray_4249710391643058700/,https://auto.ru/logbook/review/cars/vaz/2102/6257027/retro-saray_4249710391643058700/
1,9,https://auto.ru/logbook/review/cars/vaz/2102/6257027/moy-pervyy-avto-varvar_2841246/,https://auto.ru/logbook/review/cars/vaz/2102/6257027/moy-pervyy-avto-varvar_2841246/
1,10,https://auto.ru/logbook/review/cars/vaz/2102/6257027/ugriumye-radosti-ot-gorbi-do-putina_13603/,https://auto.ru/logbook/review/cars/vaz/2102/6257027/ugriumye-radosti-ot-gorbi-do-putina_13603/
