page,link_number,url,full_url
5,1,https://auto.ru/logbook/review/cars/vaz/granta/21377296/vladeiu-avtomobilem-lada-granta-komplektatsiia-clab-2024-goda-vypuska_d71cb3e7-627d-4044-bb0d-dc0434ebd56c/,https://auto.ru/logbook/review/cars/vaz/granta/21377296/vladeiu-avtomobilem-lada-granta-komplektatsiia-clab-2024-goda-vypuska_d71cb3e7-627d-4044-bb0d-dc0434ebd56c/
5,2,https://auto.ru/logbook/review/cars/vaz/granta/21377296/granta-fl-liftbek_fb2e3798-f2ad-43ee-bd6d-dea25c0071e3/,https://auto.ru/logbook/review/cars/vaz/granta/21377296/granta-fl-liftbek_fb2e3798-f2ad-43ee-bd6d-dea25c0071e3/
5,3,https://auto.ru/logbook/review/cars/vaz/granta/7684102/lada-granta-2015-mekhanika_d5336156-1ffa-436f-be14-c777548dd25a/,https://auto.ru/logbook/review/cars/vaz/granta/7684102/lada-granta-2015-mekhanika_d5336156-1ffa-436f-be14-c777548dd25a/
5,4,https://auto.ru/logbook/review/cars/vaz/granta/21377296/vladenie-grantoy_01ee8c5a-1145-437b-a1eb-d3cc87e8aec3/,https://auto.ru/logbook/review/cars/vaz/granta/21377296/vladenie-grantoy_01ee8c5a-1145-437b-a1eb-d3cc87e8aec3/
5,5,https://auto.ru/logbook/review/cars/vaz/granta/7684102/lada-granta_06bac72f-7ef2-4273-b5bc-72118863c325/,https://auto.ru/logbook/review/cars/vaz/granta/7684102/lada-granta_06bac72f-7ef2-4273-b5bc-72118863c325/
5,6,https://auto.ru/logbook/review/cars/vaz/granta/7684102/pervaia-mashina-lada-granta_ac656b50-4444-4892-86f8-0e9c8f6f4135/,https://auto.ru/logbook/review/cars/vaz/granta/7684102/pervaia-mashina-lada-granta_ac656b50-4444-4892-86f8-0e9c8f6f4135/
5,7,https://auto.ru/logbook/review/cars/vaz/granta/21377296/bezotkaznyy-avtomobil-na-kazhdyy-den_edbf6a57-4b15-4cb5-a205-d8e8b4bf73d4/,https://auto.ru/logbook/review/cars/vaz/granta/21377296/bezotkaznyy-avtomobil-na-kazhdyy-den_edbf6a57-4b15-4cb5-a205-d8e8b4bf73d4/
5,8,https://auto.ru/logbook/review/cars/vaz/granta/21377296/samaia-idealnaia-mashina-v-dannom-biudzhete_1b2a755e-95f9-4669-83da-728815935dde/,https://auto.ru/logbook/review/cars/vaz/granta/21377296/samaia-idealnaia-mashina-v-dannom-biudzhete_1b2a755e-95f9-4669-83da-728815935dde/
5,9,https://auto.ru/logbook/review/cars/vaz/granta/7684102/granta-neplokhoy-avtomobil-za-svoi-dengi_b2a1c4f8-ac35-4a42-8f14-80a45dba806c/,https://auto.ru/logbook/review/cars/vaz/granta/7684102/granta-neplokhoy-avtomobil-za-svoi-dengi_b2a1c4f8-ac35-4a42-8f14-80a45dba806c/
5,10,https://auto.ru/logbook/review/cars/vaz/granta/7684102/granta-sport_bee0852b-7ecb-4a61-ab47-31edbead48fb/,https://auto.ru/logbook/review/cars/vaz/granta/7684102/granta-sport_bee0852b-7ecb-4a61-ab47-31edbead48fb/
