page,link_number,url,full_url
4,1,https://auto.ru/logbook/review/cars/vaz/kalina/2307278/kalina-khetchbek-prodan_ebfc03c8-0bbc-4f24-9644-20a0e6a2e8fe/,https://auto.ru/logbook/review/cars/vaz/kalina/2307278/kalina-khetchbek-prodan_ebfc03c8-0bbc-4f24-9644-20a0e6a2e8fe/
4,2,https://auto.ru/logbook/review/cars/vaz/kalina/2307278/kalinvagen_cd48743f-4618-45e7-a47c-a97cf9b15e5c/,https://auto.ru/logbook/review/cars/vaz/kalina/2307278/kalinvagen_cd48743f-4618-45e7-a47c-a97cf9b15e5c/
4,3,https://auto.ru/logbook/review/cars/vaz/kalina/9389448/kalina_773d06f6-35af-4ec0-bd0d-288479ca05af/,https://auto.ru/logbook/review/cars/vaz/kalina/9389448/kalina_773d06f6-35af-4ec0-bd0d-288479ca05af/
4,4,https://auto.ru/logbook/review/cars/vaz/kalina/2307278/tipichnyy-konstruktor_226e191d-a1ac-4aad-a2b2-b16edcb0d2b9/,https://auto.ru/logbook/review/cars/vaz/kalina/2307278/tipichnyy-konstruktor_226e191d-a1ac-4aad-a2b2-b16edcb0d2b9/
4,5,https://auto.ru/logbook/review/cars/vaz/kalina/2307278/pushka-gonka_0d7a8e90-68a8-4cd8-81f2-75d0d5bd42b7/,https://auto.ru/logbook/review/cars/vaz/kalina/2307278/pushka-gonka_0d7a8e90-68a8-4cd8-81f2-75d0d5bd42b7/
4,6,https://auto.ru/logbook/review/cars/vaz/kalina/9389448/kalina-2-sport_3d65a9e2-ad1c-4eb3-80c3-6188e4838a7c/,https://auto.ru/logbook/review/cars/vaz/kalina/9389448/kalina-2-sport_3d65a9e2-ad1c-4eb3-80c3-6188e4838a7c/
4,7,https://auto.ru/logbook/review/cars/vaz/kalina/2307278/kalina-razocharuiu-vsekh-skeptikov_3db5d248-1eb6-4aab-87c6-a2452f9e8aa3/,https://auto.ru/logbook/review/cars/vaz/kalina/2307278/kalina-razocharuiu-vsekh-skeptikov_3db5d248-1eb6-4aab-87c6-a2452f9e8aa3/
4,8,https://auto.ru/logbook/review/cars/vaz/kalina/2307278/esli-za-mashinoy-sledit-ona-i-ezdit-budet_f22fab26-d763-49cb-bc83-f0fcd05c0c89/,https://auto.ru/logbook/review/cars/vaz/kalina/2307278/esli-za-mashinoy-sledit-ona-i-ezdit-budet_f22fab26-d763-49cb-bc83-f0fcd05c0c89/
4,9,https://auto.ru/logbook/review/cars/vaz/kalina/2307278/kalina_91d3fd9f-fdda-48f2-8f47-444ade41680f/,https://auto.ru/logbook/review/cars/vaz/kalina/2307278/kalina_91d3fd9f-fdda-48f2-8f47-444ade41680f/
4,10,https://auto.ru/logbook/review/cars/vaz/kalina/2307278/dlia-molodniaka-samoe-to_e6ae5f81-efaf-4b02-a1ac-81d27fd15afa/,https://auto.ru/logbook/review/cars/vaz/kalina/2307278/dlia-molodniaka-samoe-to_e6ae5f81-efaf-4b02-a1ac-81d27fd15afa/
3,1,https://auto.ru/logbook/review/cars/vaz/kalina/2307278/kalina-moia-mashina_d7a0eee6-d02f-4113-a265-76b27ead123a/,https://auto.ru/logbook/review/cars/vaz/kalina/2307278/kalina-moia-mashina_d7a0eee6-d02f-4113-a265-76b27ead123a/
3,2,https://auto.ru/logbook/review/cars/vaz/kalina/2307278/mashina-dlia-novichka-pliusy-i-minusy_7eb68b47-4f69-49db-b6d7-d9039953dbbb/,https://auto.ru/logbook/review/cars/vaz/kalina/2307278/mashina-dlia-novichka-pliusy-i-minusy_7eb68b47-4f69-49db-b6d7-d9039953dbbb/
3,3,https://auto.ru/logbook/review/cars/vaz/kalina/2307278/kalinvagen_2f78e2b3-e293-4869-b1bd-5b0dc198dfa2/,https://auto.ru/logbook/review/cars/vaz/kalina/2307278/kalinvagen_2f78e2b3-e293-4869-b1bd-5b0dc198dfa2/
3,4,https://auto.ru/logbook/review/cars/vaz/kalina/9389448/lada-kalina_9e4f4bfc-fdc0-46e9-bbee-d4d567ba55b9/,https://auto.ru/logbook/review/cars/vaz/kalina/9389448/lada-kalina_9e4f4bfc-fdc0-46e9-bbee-d4d567ba55b9/
3,5,https://auto.ru/logbook/review/cars/vaz/kalina/9389448/ne-dlia-vsekh_4fccd964-206c-46b8-9c4f-416cff0bdef3/,https://auto.ru/logbook/review/cars/vaz/kalina/9389448/ne-dlia-vsekh_4fccd964-206c-46b8-9c4f-416cff0bdef3/
3,6,https://auto.ru/logbook/review/cars/vaz/kalina/2307278/kalinka_a7f8bf86-2d61-46a0-8096-c1f1bbbfc271/,https://auto.ru/logbook/review/cars/vaz/kalina/2307278/kalinka_a7f8bf86-2d61-46a0-8096-c1f1bbbfc271/
3,7,https://auto.ru/logbook/review/cars/vaz/kalina/2307278/oni-staralis-kak-mogli_13024b29-99e5-4d85-81df-0e99033a0b44/,https://auto.ru/logbook/review/cars/vaz/kalina/2307278/oni-staralis-kak-mogli_13024b29-99e5-4d85-81df-0e99033a0b44/
3,8,https://auto.ru/logbook/review/cars/vaz/kalina/2307278/nebolshoy-gorodskoy-khetch-na-kazhdyy-den_98788729-1496-4ec9-a23c-31770bcd2726/,https://auto.ru/logbook/review/cars/vaz/kalina/2307278/nebolshoy-gorodskoy-khetch-na-kazhdyy-den_98788729-1496-4ec9-a23c-31770bcd2726/
3,9,https://auto.ru/logbook/review/cars/vaz/kalina/2307278/otlichnyy-avto_c9944c60-92cd-466e-bf06-f58312eb7d13/,https://auto.ru/logbook/review/cars/vaz/kalina/2307278/otlichnyy-avto_c9944c60-92cd-466e-bf06-f58312eb7d13/
