page,link_number,url,full_url
5,1,https://auto.ru/logbook/review/cars/vaz/largus/22749611/otlichnyy-avtomobil-i-nadezhnyy-pomoshchnik_7076186469496374028/,https://auto.ru/logbook/review/cars/vaz/largus/22749611/otlichnyy-avtomobil-i-nadezhnyy-pomoshchnik_7076186469496374028/
5,2,https://auto.ru/logbook/review/cars/vaz/largus/22749611/otlichnyy-avtomobil-s-otlichnymi-kachestvami_2839472825683714538/,https://auto.ru/logbook/review/cars/vaz/largus/22749611/otlichnyy-avtomobil-s-otlichnymi-kachestvami_2839472825683714538/
5,3,https://auto.ru/logbook/review/cars/vaz/largus/7951397/luchshee-avto-dlia-bolshoy-semi_5991381061142237475/,https://auto.ru/logbook/review/cars/vaz/largus/7951397/luchshee-avto-dlia-bolshoy-semi_5991381061142237475/
5,4,https://auto.ru/logbook/review/cars/vaz/largus/22749611/largus-fl_1765904382231267518/,https://auto.ru/logbook/review/cars/vaz/largus/22749611/largus-fl_1765904382231267518/
5,5,https://auto.ru/logbook/review/cars/vaz/largus/22749611/neprikhotlivyy-avto-dlia-raboty_5564016604203146604/,https://auto.ru/logbook/review/cars/vaz/largus/22749611/neprikhotlivyy-avto-dlia-raboty_5564016604203146604/
5,6,https://auto.ru/logbook/review/cars/vaz/largus/7951397/moy-largus-kross_8087642020444350492/,https://auto.ru/logbook/review/cars/vaz/largus/7951397/moy-largus-kross_8087642020444350492/
5,7,https://auto.ru/logbook/review/cars/vaz/largus/7951397/rabochaia-loshadka_213808937973780758/,https://auto.ru/logbook/review/cars/vaz/largus/7951397/rabochaia-loshadka_213808937973780758/
5,8,https://auto.ru/logbook/review/cars/vaz/largus/22749611/lada-largus_3530244095058527396/,https://auto.ru/logbook/review/cars/vaz/largus/22749611/lada-largus_3530244095058527396/
5,9,https://auto.ru/logbook/review/cars/vaz/largus/7951397/largus_1624162582725620739/,https://auto.ru/logbook/review/cars/vaz/largus/7951397/largus_1624162582725620739/
5,10,https://auto.ru/logbook/review/cars/vaz/largus/22749611/otlichnyy-pomoshchnik-po-domu-i-biznesu_7899571301841845898/,https://auto.ru/logbook/review/cars/vaz/largus/22749611/otlichnyy-pomoshchnik-po-domu-i-biznesu_7899571301841845898/
4,1,https://auto.ru/logbook/review/cars/vaz/largus/7951397/servis-mobil_6520b2b6-bbc4-4afb-bab3-82f9931cc068/,https://auto.ru/logbook/review/cars/vaz/largus/7951397/servis-mobil_6520b2b6-bbc4-4afb-bab3-82f9931cc068/
4,2,https://auto.ru/logbook/review/cars/vaz/largus/7951397/otlichnaia-i-nadezhnaia-rabochaia-loshadka_c24b258d-cf5e-4ddb-b20d-7d42d0f5f8ea/,https://auto.ru/logbook/review/cars/vaz/largus/7951397/otlichnaia-i-nadezhnaia-rabochaia-loshadka_c24b258d-cf5e-4ddb-b20d-7d42d0f5f8ea/
