page,link_number,url,full_url
2,1,https://auto.ru/logbook/review/cars/vaz/niva/22145470/predistoriia_8db14592-7e1d-4c6c-b19c-335d8ef02c43/,https://auto.ru/logbook/review/cars/vaz/niva/22145470/predistoriia_8db14592-7e1d-4c6c-b19c-335d8ef02c43/
2,2,https://auto.ru/logbook/review/cars/vaz/niva/22716571/niva-trevel-kkhl-2024g_64aab9f6-f30a-40e3-8a0d-6085e0ad9e7d/,https://auto.ru/logbook/review/cars/vaz/niva/22716571/niva-trevel-kkhl-2024g_64aab9f6-f30a-40e3-8a0d-6085e0ad9e7d/
2,3,https://auto.ru/logbook/review/cars/vaz/niva/22716571/niva-kak-sluzhebka-skolko-protianet-i-vo-chto-vyletsia_408cfae5-a81d-4812-b0b0-437eb7fe2580/,https://auto.ru/logbook/review/cars/vaz/niva/22716571/niva-kak-sluzhebka-skolko-protianet-i-vo-chto-vyletsia_408cfae5-a81d-4812-b0b0-437eb7fe2580/
2,4,https://auto.ru/logbook/review/cars/vaz/niva/22716571/nadezhnost_63748cb3-27f9-4b50-90e7-3e245def61a5/,https://auto.ru/logbook/review/cars/vaz/niva/22716571/nadezhnost_63748cb3-27f9-4b50-90e7-3e245def61a5/
2,5,https://auto.ru/logbook/review/cars/vaz/niva/22716571/luchshe-khodit-peshkom-chem-eto_f247d9c4-b658-4f2b-bd46-df6aea192cac/,https://auto.ru/logbook/review/cars/vaz/niva/22716571/luchshe-khodit-peshkom-chem-eto_f247d9c4-b658-4f2b-bd46-df6aea192cac/
2,6,https://auto.ru/logbook/review/cars/vaz/niva/22716571/utilitarnyy-vnedorozhnik_cb733ad9-2794-47f5-8e75-79623a8982f3/,https://auto.ru/logbook/review/cars/vaz/niva/22716571/utilitarnyy-vnedorozhnik_cb733ad9-2794-47f5-8e75-79623a8982f3/
2,7,https://auto.ru/logbook/review/cars/vaz/niva/22716571/rossiyskiy-dzhipak_165e9dc2-ff1e-4cab-aa16-326bd04ddeba/,https://auto.ru/logbook/review/cars/vaz/niva/22716571/rossiyskiy-dzhipak_165e9dc2-ff1e-4cab-aa16-326bd04ddeba/
2,8,https://auto.ru/logbook/review/cars/vaz/niva/22716571/niva-treval-2023g_771f51f7-c5c8-46ce-84f1-d9a862430385/,https://auto.ru/logbook/review/cars/vaz/niva/22716571/niva-treval-2023g_771f51f7-c5c8-46ce-84f1-d9a862430385/
2,9,https://auto.ru/logbook/review/cars/vaz/niva/22145470/ne-rekomenduiu-obkhodite-storonoy_2058857510710051012/,https://auto.ru/logbook/review/cars/vaz/niva/22145470/ne-rekomenduiu-obkhodite-storonoy_2058857510710051012/
2,10,https://auto.ru/logbook/review/cars/vaz/niva/22716571/ni-gvozdia-ni-zhezla_7056788441298632129/,https://auto.ru/logbook/review/cars/vaz/niva/22716571/ni-gvozdia-ni-zhezla_7056788441298632129/
1,1,https://auto.ru/logbook/review/cars/vaz/niva/22716571/ne-pokupayte_338c5660-6e18-43d1-89e9-0a12bddfc299/,https://auto.ru/logbook/review/cars/vaz/niva/22716571/ne-pokupayte_338c5660-6e18-43d1-89e9-0a12bddfc299/
1,2,https://auto.ru/logbook/review/cars/vaz/niva/22716571/otlichnyy-vnedorozhnik-za-svoi-dengi_0cc77234-68c0-4819-8e1e-9cd911f8133a/,https://auto.ru/logbook/review/cars/vaz/niva/22716571/otlichnyy-vnedorozhnik-za-svoi-dengi_0cc77234-68c0-4819-8e1e-9cd911f8133a/
1,3,https://auto.ru/logbook/review/cars/vaz/niva/22716571/belaia-dich_a02d9485-bdaa-400c-aed9-6302e92cb873/,https://auto.ru/logbook/review/cars/vaz/niva/22716571/belaia-dich_a02d9485-bdaa-400c-aed9-6302e92cb873/
1,4,https://auto.ru/logbook/review/cars/vaz/niva/22145470/lada-niva-off-road_c6607130-2e84-44d6-aa65-0cb93601b145/,https://auto.ru/logbook/review/cars/vaz/niva/22145470/lada-niva-off-road_c6607130-2e84-44d6-aa65-0cb93601b145/
1,5,https://auto.ru/logbook/review/cars/vaz/niva/22145470/lada-niva-odna-iz-luchshikh-na-bezdorozhe_3b70dbe3-a33e-4c1f-9b6f-a83f6c57fd96/,https://auto.ru/logbook/review/cars/vaz/niva/22145470/lada-niva-odna-iz-luchshikh-na-bezdorozhe_3b70dbe3-a33e-4c1f-9b6f-a83f6c57fd96/
1,6,https://auto.ru/logbook/review/cars/vaz/niva/22716571/niva-travel_ff6a35ef-2d77-4a85-a6aa-5593722b6281/,https://auto.ru/logbook/review/cars/vaz/niva/22716571/niva-travel_ff6a35ef-2d77-4a85-a6aa-5593722b6281/
1,7,https://auto.ru/logbook/review/cars/vaz/niva/22145470/koroleva-rossiyskogo-bezdorozhia_bd33af10-f15b-44d3-9820-1d18d20e0a8d/,https://auto.ru/logbook/review/cars/vaz/niva/22145470/koroleva-rossiyskogo-bezdorozhia_bd33af10-f15b-44d3-9820-1d18d20e0a8d/
