page,link_number,url,full_url
2,1,https://auto.ru/logbook/review/cars/vaz/niva_legend/22796942/dostoynyy-avtomobil_63b8fb8a-0edd-43b3-a224-13ccc076039c/,https://auto.ru/logbook/review/cars/vaz/niva_legend/22796942/dostoynyy-avtomobil_63b8fb8a-0edd-43b3-a224-13ccc076039c/
2,2,https://auto.ru/logbook/review/cars/vaz/niva_legend/22796942/otlichnyy-avtomobil-dlia-semeynykh-poezdok-za-gorod_7047419238975819447/,https://auto.ru/logbook/review/cars/vaz/niva_legend/22796942/otlichnyy-avtomobil-dlia-semeynykh-poezdok-za-gorod_7047419238975819447/
2,3,https://auto.ru/logbook/review/cars/vaz/niva_legend/22796942/moy-pervyy-novyy-avtomobil_5967379928955182313/,https://auto.ru/logbook/review/cars/vaz/niva_legend/22796942/moy-pervyy-novyy-avtomobil_5967379928955182313/
2,4,https://auto.ru/logbook/review/cars/vaz/niva_legend/22796942/niva-legenda_5475168383856507021/,https://auto.ru/logbook/review/cars/vaz/niva_legend/22796942/niva-legenda_5475168383856507021/
1,1,https://auto.ru/logbook/review/cars/vaz/niva_legend/22796942/1000-km_50a57923-a2d2-418e-a864-40a74e283698/,https://auto.ru/logbook/review/cars/vaz/niva_legend/22796942/1000-km_50a57923-a2d2-418e-a864-40a74e283698/
1,2,https://auto.ru/logbook/review/cars/vaz/niva_legend/22796942/niva-sport-muchitel_4d96f1c7-3088-45d4-8a7c-0a43b93875e4/,https://auto.ru/logbook/review/cars/vaz/niva_legend/22796942/niva-sport-muchitel_4d96f1c7-3088-45d4-8a7c-0a43b93875e4/
1,3,https://auto.ru/logbook/review/cars/vaz/niva_legend/22796942/moy-nivasik_013168f4-9c06-4b5d-97b1-dea1378fe636/,https://auto.ru/logbook/review/cars/vaz/niva_legend/22796942/moy-nivasik_013168f4-9c06-4b5d-97b1-dea1378fe636/
1,4,https://auto.ru/logbook/review/cars/vaz/niva_legend/22796942/ne-pokupayte-eto-vedrishche-bogom-proshu_8a12b8ff-bca1-458d-96ae-5b3b6c89101e/,https://auto.ru/logbook/review/cars/vaz/niva_legend/22796942/ne-pokupayte-eto-vedrishche-bogom-proshu_8a12b8ff-bca1-458d-96ae-5b3b6c89101e/
1,5,https://auto.ru/logbook/review/cars/vaz/niva_legend/22796942/mashina-dlia-oligarkhov_54d9f0c3-86ce-42b8-832f-613b10a3a4b4/,https://auto.ru/logbook/review/cars/vaz/niva_legend/22796942/mashina-dlia-oligarkhov_54d9f0c3-86ce-42b8-832f-613b10a3a4b4/
1,6,https://auto.ru/logbook/review/cars/vaz/niva_legend/22796942/vpechatleniia-no-ne-razocharovaniia_e0c0ecf4-09b2-4ebf-aa5a-b3050811c7e5/,https://auto.ru/logbook/review/cars/vaz/niva_legend/22796942/vpechatleniia-no-ne-razocharovaniia_e0c0ecf4-09b2-4ebf-aa5a-b3050811c7e5/
1,7,https://auto.ru/logbook/review/cars/vaz/niva_legend/22796942/khlam-ili-diversiia-avtovaza_55873d36-8b9f-436f-bc2e-f7e3c634e2d5/,https://auto.ru/logbook/review/cars/vaz/niva_legend/22796942/khlam-ili-diversiia-avtovaza_55873d36-8b9f-436f-bc2e-f7e3c634e2d5/
1,8,https://auto.ru/logbook/review/cars/vaz/niva_legend/22796942/mechta-iz-detstva_cd0f790f-4125-442a-a2fa-d93e1f6c2275/,https://auto.ru/logbook/review/cars/vaz/niva_legend/22796942/mechta-iz-detstva_cd0f790f-4125-442a-a2fa-d93e1f6c2275/
1,9,https://auto.ru/logbook/cars/vaz/niva_legend/22796942/5cc7c1d7-6a94-4a7a-b19e-b1aca2ca5934/,https://auto.ru/logbook/cars/vaz/niva_legend/22796942/5cc7c1d7-6a94-4a7a-b19e-b1aca2ca5934/
1,10,https://auto.ru/logbook/cars/vaz/niva_legend/22796942/s-etim-avtomobilem-chuvstvuesh-sebia-bolee-uverenno-net-opaseniia-gde_82f913a0-31f5-4389-94c6-9f61924de582/,https://auto.ru/logbook/cars/vaz/niva_legend/22796942/s-etim-avtomobilem-chuvstvuesh-sebia-bolee-uverenno-net-opaseniia-gde_82f913a0-31f5-4389-94c6-9f61924de582/
