page,link_number,url,full_url
5,1,https://auto.ru/logbook/review/cars/vaz/1111/6268019/oka_144477399001053856/,https://auto.ru/logbook/review/cars/vaz/1111/6268019/oka_144477399001053856/
5,2,https://auto.ru/logbook/review/cars/vaz/1111/6268019/mashina-dlia-rybalki-i-okhoty_7695685157209201313/,https://auto.ru/logbook/review/cars/vaz/1111/6268019/mashina-dlia-rybalki-i-okhoty_7695685157209201313/
5,3,https://auto.ru/logbook/review/cars/vaz/1111/6268019/prosto-oka_1654298731199709867/,https://auto.ru/logbook/review/cars/vaz/1111/6268019/prosto-oka_1654298731199709867/
5,4,https://auto.ru/logbook/review/cars/vaz/1111/6268019/oka-1111_8500610033745385265/,https://auto.ru/logbook/review/cars/vaz/1111/6268019/oka-1111_8500610033745385265/
5,5,https://auto.ru/logbook/review/cars/vaz/1111/6268019/okushonok_3192573815668724240/,https://auto.ru/logbook/review/cars/vaz/1111/6268019/okushonok_3192573815668724240/
5,6,https://auto.ru/logbook/review/cars/vaz/1111/6268019/okushenok_6385783714624964991/,https://auto.ru/logbook/review/cars/vaz/1111/6268019/okushenok_6385783714624964991/
5,7,https://auto.ru/logbook/review/cars/vaz/1111/6268019/oka_8686242160296278475/,https://auto.ru/logbook/review/cars/vaz/1111/6268019/oka_8686242160296278475/
5,8,https://auto.ru/logbook/review/cars/vaz/1111/6268019/oka_4598407976610925904/,https://auto.ru/logbook/review/cars/vaz/1111/6268019/oka_4598407976610925904/
5,9,https://auto.ru/logbook/review/cars/vaz/1111/6268019/oka-1111_4833663255399227772/,https://auto.ru/logbook/review/cars/vaz/1111/6268019/oka-1111_4833663255399227772/
5,10,https://auto.ru/logbook/review/cars/vaz/1111/6268019/6237444272203745180/,https://auto.ru/logbook/review/cars/vaz/1111/6268019/6237444272203745180/
6,1,https://auto.ru/logbook/review/cars/vaz/1111/6268019/proshchay-moy-pervyy-avto_165388022674265726/,https://auto.ru/logbook/review/cars/vaz/1111/6268019/proshchay-moy-pervyy-avto_165388022674265726/
6,2,https://auto.ru/logbook/review/cars/vaz/1111/6268019/oka_7796448379275005942/,https://auto.ru/logbook/review/cars/vaz/1111/6268019/oka_7796448379275005942/
6,3,https://auto.ru/logbook/review/cars/vaz/1111/6268019/otlichnaia-mashina_400077231212994052/,https://auto.ru/logbook/review/cars/vaz/1111/6268019/otlichnaia-mashina_400077231212994052/
6,4,https://auto.ru/logbook/review/cars/vaz/1111/6268019/kamaz-1111_165905773249102009/,https://auto.ru/logbook/review/cars/vaz/1111/6268019/kamaz-1111_165905773249102009/
6,5,https://auto.ru/logbook/review/cars/vaz/1111/6268019/kupekha_8691548930196266939/,https://auto.ru/logbook/review/cars/vaz/1111/6268019/kupekha_8691548930196266939/
6,6,https://auto.ru/logbook/review/cars/vaz/1111/6268019/ditia-kamaza_1793910788741086833/,https://auto.ru/logbook/review/cars/vaz/1111/6268019/ditia-kamaza_1793910788741086833/
6,7,https://auto.ru/logbook/review/cars/vaz/1111/6268019/moy-opyt-ekspluatatsii-oki_859052609441970621/,https://auto.ru/logbook/review/cars/vaz/1111/6268019/moy-opyt-ekspluatatsii-oki_859052609441970621/
6,8,https://auto.ru/logbook/review/cars/vaz/1111/6268019/mashinu_8513445277189679451/,https://auto.ru/logbook/review/cars/vaz/1111/6268019/mashinu_8513445277189679451/
6,9,https://auto.ru/logbook/review/cars/vaz/1111/6268019/ogonek_2704320478248087262/,https://auto.ru/logbook/review/cars/vaz/1111/6268019/ogonek_2704320478248087262/
6,10,https://auto.ru/logbook/review/cars/vaz/1111/6268019/uzhas-a-ne-avto-stoit-i-lomaetsia_7470740458067462669/,https://auto.ru/logbook/review/cars/vaz/1111/6268019/uzhas-a-ne-avto-stoit-i-lomaetsia_7470740458067462669/
2,1,https://auto.ru/logbook/cars/vaz/1111/6268019/vse-otlichno-ochen-bystro-prodal_99f81b7f-46c4-497c-ab08-f99804d38064/,https://auto.ru/logbook/cars/vaz/1111/6268019/vse-otlichno-ochen-bystro-prodal_99f81b7f-46c4-497c-ab08-f99804d38064/
2,2,https://auto.ru/logbook/review/cars/vaz/1111/6268019/avto-dlia-dushi_3394786a-bbec-400b-8844-f6ae12ccec81/,https://auto.ru/logbook/review/cars/vaz/1111/6268019/avto-dlia-dushi_3394786a-bbec-400b-8844-f6ae12ccec81/
2,3,https://auto.ru/logbook/review/cars/vaz/1111/6268019/mechta-invalida_4634653244434788072/,https://auto.ru/logbook/review/cars/vaz/1111/6268019/mechta-invalida_4634653244434788072/
2,4,https://auto.ru/logbook/review/cars/vaz/1111/6268019/oka_4996043351362522642/,https://auto.ru/logbook/review/cars/vaz/1111/6268019/oka_4996043351362522642/
2,5,https://auto.ru/logbook/review/cars/vaz/1111/6268019/oka_1769860025247776275/,https://auto.ru/logbook/review/cars/vaz/1111/6268019/oka_1769860025247776275/
2,6,https://auto.ru/logbook/review/cars/vaz/1111/6268019/luchshiy-drug-dlia-doma_3583126436189487688/,https://auto.ru/logbook/review/cars/vaz/1111/6268019/luchshiy-drug-dlia-doma_3583126436189487688/
2,7,https://auto.ru/logbook/review/cars/vaz/1111/6268019/unikalnaia_5134620047380587054/,https://auto.ru/logbook/review/cars/vaz/1111/6268019/unikalnaia_5134620047380587054/
2,8,https://auto.ru/logbook/review/cars/vaz/1111/6268019/khoroshiy-biudzhetnyy-avtomobil_6375513976973302868/,https://auto.ru/logbook/review/cars/vaz/1111/6268019/khoroshiy-biudzhetnyy-avtomobil_6375513976973302868/
2,9,https://auto.ru/logbook/review/cars/vaz/1111/6268019/otzyv_6534783997016488144/,https://auto.ru/logbook/review/cars/vaz/1111/6268019/otzyv_6534783997016488144/
2,10,https://auto.ru/logbook/review/cars/vaz/1111/6268019/s-pretenziey-na-sport_1160430160886362328/,https://auto.ru/logbook/review/cars/vaz/1111/6268019/s-pretenziey-na-sport_1160430160886362328/
8,1,https://auto.ru/logbook/review/cars/vaz/1111/6268019/oka-moy-skromnyy-opyt_4033597/,https://auto.ru/logbook/review/cars/vaz/1111/6268019/oka-moy-skromnyy-opyt_4033597/
8,2,https://auto.ru/logbook/review/cars/vaz/1111/6268019/interesnaia-zadumka-byla_4029017/,https://auto.ru/logbook/review/cars/vaz/1111/6268019/interesnaia-zadumka-byla_4029017/
8,3,https://auto.ru/logbook/review/cars/vaz/1111/6268019/skupoy-platit-dvazhdy-ili-prokliataia-malolitrazhka_4028535/,https://auto.ru/logbook/review/cars/vaz/1111/6268019/skupoy-platit-dvazhdy-ili-prokliataia-malolitrazhka_4028535/
8,4,https://auto.ru/logbook/review/cars/vaz/1111/6268019/novoe-napravlenie-dzhippinga-oking_4022544/,https://auto.ru/logbook/review/cars/vaz/1111/6268019/novoe-napravlenie-dzhippinga-oking_4022544/
8,5,https://auto.ru/logbook/review/cars/vaz/1111/6268019/okakostroma_4021636/,https://auto.ru/logbook/review/cars/vaz/1111/6268019/okakostroma_4021636/
8,6,https://auto.ru/logbook/review/cars/vaz/1111/6268019/konstruktory-ne-zria-svoy-khleb-ediat_4019786/,https://auto.ru/logbook/review/cars/vaz/1111/6268019/konstruktory-ne-zria-svoy-khleb-ediat_4019786/
8,7,https://auto.ru/logbook/review/cars/vaz/1111/6268019/prikolnyy-avto_4019512/,https://auto.ru/logbook/review/cars/vaz/1111/6268019/prikolnyy-avto_4019512/
8,8,https://auto.ru/logbook/review/cars/vaz/1111/6268019/oka-protiv-drugikh-avto_4019036/,https://auto.ru/logbook/review/cars/vaz/1111/6268019/oka-protiv-drugikh-avto_4019036/
8,9,https://auto.ru/logbook/review/cars/vaz/1111/6268019/vernyy-drug_4016758/,https://auto.ru/logbook/review/cars/vaz/1111/6268019/vernyy-drug_4016758/
8,10,https://auto.ru/logbook/review/cars/vaz/1111/6268019/oka-a-neplokho_4015846/,https://auto.ru/logbook/review/cars/vaz/1111/6268019/oka-a-neplokho_4015846/
7,1,https://auto.ru/logbook/review/cars/vaz/1111/6268019/otzyv-vladeltsa-pro-lada-vaz-1111-oka-2004_6626017413893216674/,https://auto.ru/logbook/review/cars/vaz/1111/6268019/otzyv-vladeltsa-pro-lada-vaz-1111-oka-2004_6626017413893216674/
7,2,https://auto.ru/logbook/review/cars/vaz/1111/6268019/lada-vaz-1111-oka-2001-otzyv-vladeltsa_2870001911537932831/,https://auto.ru/logbook/review/cars/vaz/1111/6268019/lada-vaz-1111-oka-2001-otzyv-vladeltsa_2870001911537932831/
7,3,https://auto.ru/logbook/review/cars/vaz/1111/6268019/otzyv-vladeltsa-pro-lada-vaz-1111-oka-2007_2890467066575024466/,https://auto.ru/logbook/review/cars/vaz/1111/6268019/otzyv-vladeltsa-pro-lada-vaz-1111-oka-2007_2890467066575024466/
7,4,https://auto.ru/logbook/review/cars/vaz/1111/6268019/oka-mashina-v-stile-ska_4455316548654225608/,https://auto.ru/logbook/review/cars/vaz/1111/6268019/oka-mashina-v-stile-ska_4455316548654225608/
7,5,https://auto.ru/logbook/review/cars/vaz/1111/6268019/mashina-skazka_7815201399854028659/,https://auto.ru/logbook/review/cars/vaz/1111/6268019/mashina-skazka_7815201399854028659/
7,6,https://auto.ru/logbook/review/cars/vaz/1111/6268019/oka-11113-komenty-iz-opyta-vozhdeniia_61168541/,https://auto.ru/logbook/review/cars/vaz/1111/6268019/oka-11113-komenty-iz-opyta-vozhdeniia_61168541/
7,7,https://auto.ru/logbook/review/cars/vaz/1111/6268019/oda-oke_4044680/,https://auto.ru/logbook/review/cars/vaz/1111/6268019/oda-oke_4044680/
7,8,https://auto.ru/logbook/review/cars/vaz/1111/6268019/ne-sereznaia-mashinka-s-nerealnoy-prokhodimostiu_4040030/,https://auto.ru/logbook/review/cars/vaz/1111/6268019/ne-sereznaia-mashinka-s-nerealnoy-prokhodimostiu_4040030/
7,9,https://auto.ru/logbook/review/cars/vaz/1111/6268019/byla-u-menia-oka_4036034/,https://auto.ru/logbook/review/cars/vaz/1111/6268019/byla-u-menia-oka_4036034/
7,10,https://auto.ru/logbook/review/cars/vaz/1111/6268019/moia-pervaia-mashina_4035315/,https://auto.ru/logbook/review/cars/vaz/1111/6268019/moia-pervaia-mashina_4035315/
9,1,https://auto.ru/logbook/review/cars/vaz/1111/6268019/normalnaia-mashinka-dlia-ezdy-na-nebolshie-rasstoianiia_4010860/,https://auto.ru/logbook/review/cars/vaz/1111/6268019/normalnaia-mashinka-dlia-ezdy-na-nebolshie-rasstoianiia_4010860/
9,2,https://auto.ru/logbook/review/cars/vaz/1111/6268019/malenkiy-zver_4009715/,https://auto.ru/logbook/review/cars/vaz/1111/6268019/malenkiy-zver_4009715/
9,3,https://auto.ru/logbook/review/cars/vaz/1111/6268019/vtoraia-popytka_4009069/,https://auto.ru/logbook/review/cars/vaz/1111/6268019/vtoraia-popytka_4009069/
9,4,https://auto.ru/logbook/review/cars/vaz/1111/6268019/okushka-khorosho_4008376/,https://auto.ru/logbook/review/cars/vaz/1111/6268019/okushka-khorosho_4008376/
9,5,https://auto.ru/logbook/review/cars/vaz/1111/6268019/moia-zheltaia-oka_4006329/,https://auto.ru/logbook/review/cars/vaz/1111/6268019/moia-zheltaia-oka_4006329/
9,6,https://auto.ru/logbook/review/cars/vaz/1111/6268019/malenkaia-vredina-k-kotoroy-lezhit-dusha_4005255/,https://auto.ru/logbook/review/cars/vaz/1111/6268019/malenkaia-vredina-k-kotoroy-lezhit-dusha_4005255/
9,7,https://auto.ru/logbook/review/cars/vaz/1111/6268019/moy-pervyy-avtomobil_2844556/,https://auto.ru/logbook/review/cars/vaz/1111/6268019/moy-pervyy-avtomobil_2844556/
9,8,https://auto.ru/logbook/review/cars/vaz/1111/6268019/s-vidu-avto-oka-a-na-samom-dele_2844213/,https://auto.ru/logbook/review/cars/vaz/1111/6268019/s-vidu-avto-oka-a-na-samom-dele_2844213/
9,9,https://auto.ru/logbook/review/cars/vaz/1111/6268019/seaz11116-torpeda-na-kolesakh_2843235/,https://auto.ru/logbook/review/cars/vaz/1111/6268019/seaz11116-torpeda-na-kolesakh_2843235/
9,10,https://auto.ru/logbook/review/cars/vaz/1111/6268019/ia-ezdil-na-ney-v-krym_2842249/,https://auto.ru/logbook/review/cars/vaz/1111/6268019/ia-ezdil-na-ney-v-krym_2842249/
11,1,https://auto.ru/logbook/review/cars/vaz/1111/6268019/tazovodam-posviashchaetsia_2095/,https://auto.ru/logbook/review/cars/vaz/1111/6268019/tazovodam-posviashchaetsia_2095/
11,2,https://auto.ru/logbook/review/cars/vaz/1111/6268019/vladeltsy-tazov-vkliuchite-mozg-golovnoy-a-ne-chipuyte-mashinnyy_2086/,https://auto.ru/logbook/review/cars/vaz/1111/6268019/vladeltsy-tazov-vkliuchite-mozg-golovnoy-a-ne-chipuyte-mashinnyy_2086/
11,3,https://auto.ru/logbook/review/cars/vaz/1111/6268019/nemnogo-ob-okovodstve_2074/,https://auto.ru/logbook/review/cars/vaz/1111/6268019/nemnogo-ob-okovodstve_2074/
