page,link_number,url,full_url
4,1,https://auto.ru/logbook/review/cars/vaz/vesta/23216223/lada-vesta_2850887c-9194-4c67-ade2-fce3719f16cd/,https://auto.ru/logbook/review/cars/vaz/vesta/23216223/lada-vesta_2850887c-9194-4c67-ade2-fce3719f16cd/
4,2,https://auto.ru/logbook/review/cars/vaz/vesta/23216223/vesta-kross-1-8-6mt-tekhno_ad431feb-59a4-4433-8896-d6ed8b3bd1ae/,https://auto.ru/logbook/review/cars/vaz/vesta/23216223/vesta-kross-1-8-6mt-tekhno_ad431feb-59a4-4433-8896-d6ed8b3bd1ae/
4,3,https://auto.ru/logbook/review/cars/vaz/vesta/20417749/nadezhnaia-vesta_fcb03872-7b9b-4571-9b7e-fc743051e298/,https://auto.ru/logbook/review/cars/vaz/vesta/20417749/nadezhnaia-vesta_fcb03872-7b9b-4571-9b7e-fc743051e298/
4,4,https://auto.ru/logbook/review/cars/vaz/vesta/23216223/pervyy-avtomobil_5e55c44e-044f-4c95-8c8c-d7e8d63e990a/,https://auto.ru/logbook/review/cars/vaz/vesta/23216223/pervyy-avtomobil_5e55c44e-044f-4c95-8c8c-d7e8d63e990a/
4,5,https://auto.ru/logbook/review/cars/vaz/vesta/20417749/lada-vesta-sv-2018-1-6-160000-km_51056786-bc37-4cbf-8b7e-cc2c9f8e2532/,https://auto.ru/logbook/review/cars/vaz/vesta/20417749/lada-vesta-sv-2018-1-6-160000-km_51056786-bc37-4cbf-8b7e-cc2c9f8e2532/
4,6,https://auto.ru/logbook/review/cars/vaz/vesta/20417749/ty-byla-dolgo-v-nashey-seme-i-my-v-tebe-ni-razu-ne-razocharovalis_eb4ddffb-d63e-4e12-8b4e-cb75812d1ff9/,https://auto.ru/logbook/review/cars/vaz/vesta/20417749/ty-byla-dolgo-v-nashey-seme-i-my-v-tebe-ni-razu-ne-razocharovalis_eb4ddffb-d63e-4e12-8b4e-cb75812d1ff9/
4,7,https://auto.ru/logbook/review/cars/vaz/vesta/20417749/vesty-ne-mif-3-7-goda-ekspluatatsii-bez-problem_bb113c85-a604-415a-b9e0-2fe73bdbce11/,https://auto.ru/logbook/review/cars/vaz/vesta/20417749/vesty-ne-mif-3-7-goda-ekspluatatsii-bez-problem_bb113c85-a604-415a-b9e0-2fe73bdbce11/
4,8,https://auto.ru/logbook/review/cars/vaz/vesta/20417749/vestochka_c3794e29-db63-47b9-a561-053c2f08980d/,https://auto.ru/logbook/review/cars/vaz/vesta/20417749/vestochka_c3794e29-db63-47b9-a561-053c2f08980d/
4,9,https://auto.ru/logbook/review/cars/vaz/vesta/20417749/vestochka_67808527-f3b0-4a1a-85f1-be38e20818bd/,https://auto.ru/logbook/review/cars/vaz/vesta/20417749/vestochka_67808527-f3b0-4a1a-85f1-be38e20818bd/
4,10,https://auto.ru/logbook/review/cars/vaz/vesta/23216223/mashinu-kupil-v-sentiabre-2024-goda_c57b101b-8c48-4bf2-a8e6-5221dd21fd74/,https://auto.ru/logbook/review/cars/vaz/vesta/23216223/mashinu-kupil-v-sentiabre-2024-goda_c57b101b-8c48-4bf2-a8e6-5221dd21fd74/
7,1,https://auto.ru/logbook/review/cars/vaz/vesta/20417749/lada-vesta-praktichnyy-avto_c279a4a5-1118-40f6-93b2-e5c01b6acd14/,https://auto.ru/logbook/review/cars/vaz/vesta/20417749/lada-vesta-praktichnyy-avto_c279a4a5-1118-40f6-93b2-e5c01b6acd14/
7,2,https://auto.ru/logbook/review/cars/vaz/vesta/20417749/otzyv-ob-veste_4883c3d0-e4ca-4c28-8f95-e3813e9774e3/,https://auto.ru/logbook/review/cars/vaz/vesta/20417749/otzyv-ob-veste_4883c3d0-e4ca-4c28-8f95-e3813e9774e3/
7,3,https://auto.ru/logbook/review/cars/vaz/vesta/20417749/vesta-moia-nevesta_986668c3-868c-411d-b8a0-ac985218e976/,https://auto.ru/logbook/review/cars/vaz/vesta/20417749/vesta-moia-nevesta_986668c3-868c-411d-b8a0-ac985218e976/
7,4,https://auto.ru/logbook/review/cars/vaz/vesta/20417749/protivorechivaia-vesta_814655d5-debd-4397-be13-1df987fe20b8/,https://auto.ru/logbook/review/cars/vaz/vesta/20417749/protivorechivaia-vesta_814655d5-debd-4397-be13-1df987fe20b8/
7,5,https://auto.ru/logbook/review/cars/vaz/vesta/23216223/tekhno-sv-kross-kosmicheskiy-korabl_0c197dfb-d1dc-4f57-adf0-da43a3528e00/,https://auto.ru/logbook/review/cars/vaz/vesta/23216223/tekhno-sv-kross-kosmicheskiy-korabl_0c197dfb-d1dc-4f57-adf0-da43a3528e00/
7,6,https://auto.ru/logbook/review/cars/vaz/vesta/23216223/lichnyy-opyt-sw-cross-ng-1-8cvt_ab7cff48-4a26-474a-80a5-7c39ddaaff36/,https://auto.ru/logbook/review/cars/vaz/vesta/23216223/lichnyy-opyt-sw-cross-ng-1-8cvt_ab7cff48-4a26-474a-80a5-7c39ddaaff36/
7,7,https://auto.ru/logbook/review/cars/vaz/vesta/23216223/posle-10-let-vladeniia-kia-rio-3-at_b7bdabdd-51db-4511-9313-26e936093156/,https://auto.ru/logbook/review/cars/vaz/vesta/23216223/posle-10-let-vladeniia-kia-rio-3-at_b7bdabdd-51db-4511-9313-26e936093156/
7,8,https://auto.ru/logbook/review/cars/vaz/vesta/23216223/popytka-sdelat-mashinu-no-taz-est-taz-i-budet-im-vsegda_ea047d4e-54e1-4bf2-a71d-ade32c4a4514/,https://auto.ru/logbook/review/cars/vaz/vesta/23216223/popytka-sdelat-mashinu-no-taz-est-taz-i-budet-im-vsegda_ea047d4e-54e1-4bf2-a71d-ade32c4a4514/
7,9,https://auto.ru/logbook/review/cars/vaz/vesta/23216223/nu-kak-est_05d93e57-5d57-4dce-b90d-3c736383c763/,https://auto.ru/logbook/review/cars/vaz/vesta/23216223/nu-kak-est_05d93e57-5d57-4dce-b90d-3c736383c763/
7,10,https://auto.ru/logbook/review/cars/vaz/vesta/23216223/na-garantiynyy-sluchay-mozhno-ne-raschityvat_1f688e84-b426-4639-85be-63c14fed5766/,https://auto.ru/logbook/review/cars/vaz/vesta/23216223/na-garantiynyy-sluchay-mozhno-ne-raschityvat_1f688e84-b426-4639-85be-63c14fed5766/
8,1,https://auto.ru/logbook/cars/vaz/vesta/23216223/chto-po-trasse-i-kak-po-trasse_9f3fd609-2b45-4131-8b2f-562f76a12cf4/,https://auto.ru/logbook/cars/vaz/vesta/23216223/chto-po-trasse-i-kak-po-trasse_9f3fd609-2b45-4131-8b2f-562f76a12cf4/
8,2,https://auto.ru/logbook/review/cars/vaz/vesta/23216223/luchshe-chem-kia-rio_5fcf2389-aee7-467a-ab72-be8df6353104/,https://auto.ru/logbook/review/cars/vaz/vesta/23216223/luchshe-chem-kia-rio_5fcf2389-aee7-467a-ab72-be8df6353104/
8,3,https://auto.ru/logbook/cars/vaz/vesta/23216223/letiat-stupichnye-podshipniki-na-veste-cross-kazhdye-10-tys-zamena-pechal_a50441c1-e8cc-4e03-86f3-0ee8c91f819e/,https://auto.ru/logbook/cars/vaz/vesta/23216223/letiat-stupichnye-podshipniki-na-veste-cross-kazhdye-10-tys-zamena-pechal_a50441c1-e8cc-4e03-86f3-0ee8c91f819e/
8,4,https://auto.ru/logbook/review/cars/vaz/vesta/20417749/siniy-bolshoy-chemodan_e264e814-5820-4d56-909c-21857796704e/,https://auto.ru/logbook/review/cars/vaz/vesta/20417749/siniy-bolshoy-chemodan_e264e814-5820-4d56-909c-21857796704e/
8,5,https://auto.ru/logbook/review/cars/vaz/vesta/20417749/liubimaia-vesta_ffacd55b-a2e8-45ad-afda-e40f7f926d73/,https://auto.ru/logbook/review/cars/vaz/vesta/20417749/liubimaia-vesta_ffacd55b-a2e8-45ad-afda-e40f7f926d73/
8,6,https://auto.ru/logbook/review/cars/vaz/vesta/23216223/otlichnaia-mashina-elektronika-obnovliaetsia-no-poka-syraia-khotelos_a495ce2c-4a1d-4178-9fbb-95726b7f2b7c/,https://auto.ru/logbook/review/cars/vaz/vesta/23216223/otlichnaia-mashina-elektronika-obnovliaetsia-no-poka-syraia-khotelos_a495ce2c-4a1d-4178-9fbb-95726b7f2b7c/
