page,link_number,url,full_url
3,1,https://auto.ru/logbook/review/cars/vaz/xray/20497289/nadezhnyy-i-praktichnyy-avto-sredney-tsenovoy-kategorii_c14fd182-900a-4d11-b52d-90a26596e1fb/,https://auto.ru/logbook/review/cars/vaz/xray/20497289/nadezhnyy-i-praktichnyy-avto-sredney-tsenovoy-kategorii_c14fd182-900a-4d11-b52d-90a26596e1fb/
3,2,https://auto.ru/logbook/review/cars/vaz/xray/20497289/zamena-masla-v-kpp_896501d4-ecb5-4bb9-aff2-4918af9959bd/,https://auto.ru/logbook/review/cars/vaz/xray/20497289/zamena-masla-v-kpp_896501d4-ecb5-4bb9-aff2-4918af9959bd/
3,3,https://auto.ru/logbook/review/cars/vaz/xray/20497289/zamena-antifriza_26ebd00a-3425-4cfa-822f-d7072c2cac70/,https://auto.ru/logbook/review/cars/vaz/xray/20497289/zamena-antifriza_26ebd00a-3425-4cfa-822f-d7072c2cac70/
3,4,https://auto.ru/logbook/review/cars/vaz/xray/20497289/chistka-toplivnoy-sistemy_0a727d02-a012-4859-aad0-7e49eeee75f7/,https://auto.ru/logbook/review/cars/vaz/xray/20497289/chistka-toplivnoy-sistemy_0a727d02-a012-4859-aad0-7e49eeee75f7/
3,5,https://auto.ru/logbook/review/cars/vaz/xray/20497289/remont-dvigatelia_89831b6d-5bac-4a6b-98e5-f03e0ede80f9/,https://auto.ru/logbook/review/cars/vaz/xray/20497289/remont-dvigatelia_89831b6d-5bac-4a6b-98e5-f03e0ede80f9/
3,6,https://auto.ru/logbook/review/cars/vaz/xray/20497289/chto-za-kpp-stoit-v-khrey_bd06c3da-de9e-4241-9f74-ffd6f7c44b04/,https://auto.ru/logbook/review/cars/vaz/xray/20497289/chto-za-kpp-stoit-v-khrey_bd06c3da-de9e-4241-9f74-ffd6f7c44b04/
3,7,https://auto.ru/logbook/review/cars/vaz/xray/20497289/iz-salona_16b13b92-63ed-4a5d-a586-aa1b38531665/,https://auto.ru/logbook/review/cars/vaz/xray/20497289/iz-salona_16b13b92-63ed-4a5d-a586-aa1b38531665/
3,8,https://auto.ru/logbook/review/cars/vaz/xray/20497289/funktsionalnyy-gorodskoy-krossover-dlia-ezhednevnykh-poezdok-i-puteshestviy_caba8243-9483-43a3-adbb-b1455f23922e/,https://auto.ru/logbook/review/cars/vaz/xray/20497289/funktsionalnyy-gorodskoy-krossover-dlia-ezhednevnykh-poezdok-i-puteshestviy_caba8243-9483-43a3-adbb-b1455f23922e/
3,9,https://auto.ru/logbook/review/cars/vaz/xray/20497289/lada-kh-rey-kross-instinkt_1c1df2ba-5ee2-4d5c-a803-61681f28da6c/,https://auto.ru/logbook/review/cars/vaz/xray/20497289/lada-kh-rey-kross-instinkt_1c1df2ba-5ee2-4d5c-a803-61681f28da6c/
3,10,https://auto.ru/logbook/review/cars/vaz/xray/20497289/lada-xray_9c6192bb-a5e2-4e3b-b5e9-1c2ecbe0f90e/,https://auto.ru/logbook/review/cars/vaz/xray/20497289/lada-xray_9c6192bb-a5e2-4e3b-b5e9-1c2ecbe0f90e/
6,1,https://auto.ru/logbook/review/cars/vaz/xray/20497289/x-ray-cross_4581933113675242155/,https://auto.ru/logbook/review/cars/vaz/xray/20497289/x-ray-cross_4581933113675242155/
6,2,https://auto.ru/logbook/review/cars/vaz/xray/20497289/otlichnaia-mashina-za-svoi-dengi_5896719496479471904/,https://auto.ru/logbook/review/cars/vaz/xray/20497289/otlichnaia-mashina-za-svoi-dengi_5896719496479471904/
6,3,https://auto.ru/logbook/review/cars/vaz/xray/20497289/lada-kh-rey-vpechatleniia-god-ekspluatatsii_2405812971321941574/,https://auto.ru/logbook/review/cars/vaz/xray/20497289/lada-kh-rey-vpechatleniia-god-ekspluatatsii_2405812971321941574/
6,4,https://auto.ru/logbook/review/cars/vaz/xray/20497289/belaia-lastochka_914804552982644590/,https://auto.ru/logbook/review/cars/vaz/xray/20497289/belaia-lastochka_914804552982644590/
6,5,https://auto.ru/logbook/review/cars/vaz/xray/20497289/lada-xray_457199967509471384/,https://auto.ru/logbook/review/cars/vaz/xray/20497289/lada-xray_457199967509471384/
6,6,https://auto.ru/logbook/review/cars/vaz/xray/20497289/reno-v-obertke-avtovaza_1034366584993912341/,https://auto.ru/logbook/review/cars/vaz/xray/20497289/reno-v-obertke-avtovaza_1034366584993912341/
6,7,https://auto.ru/logbook/review/cars/vaz/xray/20497289/x-rey-cross-1-8mt_2194620274622932221/,https://auto.ru/logbook/review/cars/vaz/xray/20497289/x-rey-cross-1-8mt_2194620274622932221/
